rc_seg_ids,mics_ids
37267B04-0AAE-88AF-8305-0C95BD045B8E-3,18759
0E419E56-2ECF-8D75-27CA-25DA04A76BE1-1,18760
20E76B49-A711-864A-4182-4A2CDEE9047F-1,18761
19C2F435-65CD-25D3-99D5-523D04869A12-1,18762
3EB25C80-A133-1E4E-13B1-8010707741FA,18763
0F4F416F-251B-6940-4DC6-39FFCC024D45-0,18764
2289875E-8306-08BB-9902-35955E1D6CDC-1,18765
02BA185B-0D82-7C86-60D3-74E8C65684D2-3,18766
B48915EC-20F4-0790-40C5-373879955EB2,18767
2B695E50-0A19-5982-9CC0-311FBE0028C2-2,18768
04057168-5301-0699-613E-D52A4B4B647E,18769
15A4795B-4953-4CD0-3FF3-0DA13059755D-3,18770
4A073BB3-76A2-9478-2E1C-060123766E43-1,18771
33C73140-486B-052D-154B-058D6EF1182A-1,18772
0A3E3FF2-618E-9B86-5230-2F9F39506F41-1,18773
ZIP-49,18774
782529DF-376A-56D2-3F96-34CC5B2A8FAE-1,18775
623DE957-091B-0AD2-9659-325E0A7C122A-2,18776
ZIP-45,18777
9E5F4B13-9C66-6622-254B-D9AF5CC4202C,18778
5AAF7899-9AB6-2969-13AE-1DE593B9165D-0,18779
361BFB2D-0030-44F1-0162-3C038C6B4A31-2,18780
55BB32A5-2F08-A7BB-3276-3108E1439FB7-2,18781
5CA0B832-40BE-42BF-6CF6-04E162C50DAC-3,18782
0C7006B4-2A63-98D0-426E-149D08191D3F-1,18783
22F2A149-1D9F-1325-9010-6F7B9E1F9ADE-0,18784
29D4CCE7-128C-74F9-3A06-2EFB62E52C5C-2,18785
16B5C60C-572D-9E46-82DE-03B795010C60,18786
6040A77D-8C2C-8CBE-9A3D-3F0A5F453D8D-3,18787
66C6094E-2D32-5682-4F61-53F4AB2D2C87-1,18788
3E48ABCB-6470-864E-9FB1-07CB9F3C4AAC-3,18789
66E7CB4F-0471-7EF2-55D5-2F7C04897676-3,18790
44725DF7-1359-548F-1372-65DA24F51CD9,18791
51993818-190B-6849-2468-5589A0356C62-1,18792
A467460D-66BD-1FFE-5311-E1BA008C4BB8,18793
34236316-1C05-0BEE-5F11-05E36D048038-2,18794
1A508509-3679-7B67-3420-03EB9AD43D91-3,18795
CD99E086-04E7-8294-4536-AC0CB11721C4,18796
0740A19B-3DA6-A27D-6A6E-2351CA2B3BF4-1,18797
CAB6A630-5297-20D9-4F09-4A83D2F31D47-1,18798
201AED52-49B0-8EE5-1B00-63DB5D6C96FA-3,18799
3C022F53-5FFD-16B6-4C0A-39551F722D17-2,18800
1796932E-22EC-7A9C-5CCD-0D1872DD692C-0,18801
12300CBC-1F27-32DD-6FC2-203B5B772A03-1,18802
13C03A76-7F21-0E4A-6C24-2E7CC47E9081-0,18803
095BB609-7266-A148-0230-16427DA14DB0-2,18804
5039D1D5-03FE-A04F-18D4-43AA57875E50-2,18805
58F16160-10C6-965D-40E5-3F6DC55A44E1-2,18806
033AFA3A-79F1-40A3-1961-1FB5EE589E51-3,18807
29B68611-8009-76D1-75DE-BD46D1805C9B,18808
5639B756-A735-3251-249A-6B194E771989-0,18809
210B8157-8304-36E1-684F-245AC6569220,18811
BF37CC3D-66C1-41AC-35E1-6FB5A0B118B9,18812
29D4CCE7-128C-74F9-3A06-2EFB62E52C5C-1,18814
057FD5B4-1088-9E1B-6C13-69E9DF092F76-1,18815
3A7C09FE-6F3C-97BB-A3A6-7E8156D45BEE,18816
01597811-85FA-99DC-5F05-17DF29E15767-1,18817
